names,date,discharge,dt_equil,eq_mass_flux,feed_flow_depth_mean,feed_flow_depth_std,feed_mean_bed_slope,feed_mean_water_slope,flume_slope,grain_kind,hyd_rad,main_tank_water_depth,main_tank_water_temp,pipe_grade,pump_freq,q8,qs,series,tau8,taub
exp_transport_stage_10,16_10_17,0.9338685229555366,93.91304347826087,0.0154642037037037,7.570036101892433,0.3552601317885146,0.08589350180301183,0.08101985561717251,29.4,5mm_glass,0.005146498765885979,32.9,20.0,130.5,31.8,0.43306778886149727,0.0005887760785723853,2,0.05416905548791767,4.0782012936100775
exp_transport_stage_12,21_05_17,0.9244353732544897,30.0,0.042448266666666665,6.722424892848962,0.6913991276712453,0.120954935620351,0.13043991414722253,29.5,5mm_glass,0.005146057643293099,32.7,21.0,225.0,31.5,1.188743846017353,0.001616153309220128,1,0.08720333134301539,6.565237947881829
exp_transport_stage_9,19_05_17,0.9108351180954499,60.0,0.01753654166666667,8.113304720547712,0.9229083284949277,0.08696351934685673,0.09962446340608558,30.0,5mm_glass,0.00514673306054995,32.5,21.0,129.5,31.5,0.4911026438459261,0.0006676772003299703,1,0.06661094029290639,5.014907873586724
exp_transport_stage_7,19_05_17,,60.0,0.006872499999999999,8.812821887876233,0.7336339160502808,0.057306866964947405,0.06737124463310998,29.5,5mm_glass,0.0051469922222096825,32.3,20.5,52.0,31.5,0.19246114678622742,0.00026166000380734814,1,0.04504805119825311,3.3915123499302324
exp_transport_stage_4,19_05_17,0.8993721949210933,60.0,0.00303102380952381,9.830847639717549,0.9964281594359897,0.0417489269921124,0.05541845493562231,30.0,5mm_glass,0.005147303527209796,32.3,20.5,13.0,31.5,0.08488240353835028,0.0001154016299076265,1,0.03705801197553856,2.7899698640853803
exp_transport_stage_2,21_05_17,0.9054095124971595,300.0,0.0008162444444444445,11.129916895939846,1.1812481504372299,0.025574792163443626,0.04177977839121231,29.5,5mm_glass,0.0051476181104031194,33.3,21.0,-15.0,31.5,0.02285854373745579,3.107726801616008e-05,1,0.027939612433087544,2.1034770228363446
exp_transport_stage_1,23_05_17,0.9116940906793671,300.0,0.00018036952380952383,11.591255364832147,0.7836899626056989,0.025418454933447222,0.03616952789484421,29.5,5mm_glass,0.005147712868844648,32.7,21.0,-33.0,31.5,0.005051164117521529,6.867295785628168e-06,1,0.024188285166488594,1.8210525357634448
exp_transport_stage_5,15_10_17,0.910453113840384,120.0,0.003738395833333333,9.371710522489538,0.5275231996174192,0.04973684210314159,0.05697368406684294,29.5,5mm_glass,0.00514717149466643,34.3,20.0,22.0,31.8,0.10469202607845582,0.00014233374579605303,2,0.038097007784033264,2.868192273763608
exp_transport_stage_6,15_10_17,0.9071192041852955,180.0,0.0034339377777777777,9.512500000020763,0.5467058721171434,0.04986842105051029,0.057368421050526676,29.4,5mm_glass,0.005147213335224562,30.25,20.0,22.0,31.8,0.09616582069169306,0.0001307419675529327,2,0.03836127126473974,2.8880877594641374
exp_transport_stage_8,16_10_17,0.8997934656194841,180.0,0.006764922949620235,8.452707589780738,0.32631302796820616,0.06870938629526537,0.07318592081699901,29.4,5mm_glass,0.005146864158598266,31.0,20.0,52.0,31.8,0.1894485018267557,0.0002575641709354744,2,0.048934840009698166,3.6841352693451737
exp_transport_stage_11,18_10_17,0.9160240492541035,45.0,0.02992449042145593,6.170036097040121,0.35526014590338334,0.11636281601239229,0.11148916963291772,29.4,5mm_glass,0.005145704987739121,32.8,19.0,200.0,31.8,0.8380213522745562,0.0011393295420314461,2,0.07452903359475303,5.611033799277248
exp_transport_stage_3,18_10_17,0.9160240492541035,187.5,0.0023819177083333337,9.546570398442114,0.21841919729260156,0.04477436817266606,0.047770758120617964,29.5,5mm_glass,0.005147223275086201,32.8,19.0,5.3,31.8,0.0667044908979638,9.068790056475666e-05,2,0.031943541692259304,2.4049190424026565
